word,count,desc_count,fn_count,tier,source,example1,example2,example3
pass,411,290,121,new,both,White noise impact filtered through a high-pass frequency.,Wobble noise with low pass filter slow modulation.,Tonal sound with low pass filter modulation.
crunchy,410,332,78,new,both,"Small, crunchy impact noise accompanied by a brief burst of static.",Sharp and crunchy impact as a grocery bag is compressed forcefully.,Heavily processed and noisy whooshes. Mid length distorted whooshes with crunchy texture.
mechanic,408,22,386,mid,both,"SHOOT SMALL Air release mechanic followed by single shot. Medium length, airy tail.","Tight, mechanic clicking elements. Sharp and snappy clicks.",SUPPRESSED ASSAULT RIFLE Caliber 7.62x39mm. Tight and bright shot sound with high mechanic elements. Soft tail.
friction,400,316,84,new,both,"Wood, Instrument, Friction. Slightly tonal, raspy moaning with stuttering. Mono, Sanken Co100K high frequency response.","Wood, Instrument, Friction. Slightly tonal, raspy moaning with varying movement and stuttering. Mono, Sanken Co100K high frequency response.","Wood, Instrument, Friction. Slightly tonal, raspy moaning and stuttering with decreasing tension. Mono, Sanken Co100K high frequency response."
shout,394,46,348,new,both,An enormous troop of women performing a typical combat shout far away with a washed out character.,A massive mob of women performing a typical combat shout at a very close distance.,A massive mob of women performing a typical combat shout at a distance.
surface,391,351,40,new,both,"PROCESSED HIT LOW Deep and heavy thuds, like dropping a heavy object on a solid surface, with feedback.","SYNTHETIC HIT LOW Hard hits, with feedback, like banging on a wooden surface.",Quickly sliding metallic pieces on metallic surface. Slightly hollow.
energy,388,190,198,new,both,Quick motion noise suggesting energy activation.,High-pitched electrified surge resembling energy sparks fizzling out.,Glitchy energy surge characterized by its erratic distortion.
slight,388,388,0,new,desc,Laser noise with a slight sweeping bubble-up effect.,"PROCESSED HIT LOW Heavy and short thrash, with slight shaking.",Scraping metallic pieces on wooden surface with slight impacts and ring out.
instrument,388,161,227,new,both,"Whistle, Instrument. Short, slightly impactful, hissing air burst. Mono, Sanken Co100K high frequency response.","Whistle, Instrument. Harsh, slightly tonal, raspy, resonant air hiss. Mono, Sanken Co100K high frequency response.","Whistle, Instrument. Calm, slightly tonal, raspy, resonant air hiss. Mono, Sanken Co100K high frequency response."
glass,386,179,207,new,both,"Gleaming effect characterised by a frequency shift, glass scrape, and pitch delay.",Wobble effect with shifted resonance of a wine glass.,Synthesized glimmering characterised by glass friction being time stretched.
reverberant,385,374,11,new,both,"Processed thud with noisy, slightly reverberant tail.",Clack of metallic impact repeatedly in varying rhythms. Hard attacks and reverberant decay.,"Warp followed by short, sharp shot. Quick whoosh with medium length, reverberant tail."
ambient,382,382,0,new,desc,"Tiny, faint ambient textures with soft, minimal background noise.","Smooth, flowing textures with an ambient, liquid like quality.","BIG LONG HIT Dense, ambient punch, strike followed by a low squeak. Medium fast decay."
screaming,381,370,11,new,both,"Wild, Marine, Mammal. Curious, low, tonal moaning and screaming. Underwater hydrophone recording.","Wild, Marine, Mammal. Agitated, raspy, tonal screaming and moaning. Underwater hydrophone recording.","Wild, Marine, Mammal. Agitated, funny, raspy, tonal screaming and moaning. Underwater hydrophone recording."
sweetener,379,26,353,new,both,Distorted burst of chemical reaction with grainy sweetener tail.,High chemical burst with airy sweetener and sharp decay.,Bright sparkling blast with sweetener layer and liquid energy fizz.
moaning,374,370,4,new,both,"Wild, Marine, Mammal. Curious, low, tonal moaning and screaming. Underwater hydrophone recording.","Wild, Marine, Mammal. Agitated, raspy, tonal screaming and moaning. Underwater hydrophone recording.","Wild, Marine, Mammal. Agitated, funny, raspy, tonal screaming and moaning. Underwater hydrophone recording."
quickly,374,374,0,new,desc,SYNTHETIC FLY BY Heavy rumble closing in and backing up quickly.,Quickly sliding metallic piece. Some ringing and slightly gritty.,Quickly sliding big metallic piece. Some ringing and slightly gritty.
shot,373,247,126,new,both,"Sharp accent characterised by a saw wave, white noise, and dual delay shot.",Jolt with shot frequency shift modulation.,"Swift, crisp laser shot noise."
dense,372,347,25,new,both,Processed shot with heavy detonation and dense tail.,"Steel cannon, cal 27mm. Heavy, single blasts with hard attack and dense, echoing tail.","Steel cannon, cal 56mm. Heavy, single blasts with hard attack and dense, echoing tail."
undead,368,344,24,mid,both,"Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water. Mono, Sanken Co100K high frequency response.","Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, gargle with water.","Ghoul, Zombie, Skeleton, Undead, Mummy, Ghost, Spirit, Paranormal. Female voice, raspy snarling. Mono, Sanken Co100K high frequency response."
double,363,84,279,new,both,Double deforming burst with rapid palpitations.,Brief whoosh characterised by a double filtering of noise.,Laser noise with diverse durations and double filter effect.
fir,362,1,361,unknown,both,MEDIUM HIGH Rapidly burning fir with a lot of sizzling and some crackling. Ending more subtle.,,
far,360,115,245,new,both,An enormous troop of women whining and whimpering with sparse expressions far away with a washed out character. Ready to use loop.,An enormous troop of women whining and whimpering with dense expressions far away with a washed out character. Ready to use loop.,An enormous troop of women victoriously cheering and rejoicing with sparse expressions far away with a washed out character. Ready to use loop.
pain,358,10,348,new,both,Single long creak in pain in the distance.,Single long and slightly raspy creak in pain.,Single long and shaky creak in pain.
effect,358,253,105,new,both,"Crisp, quivering impact noise with a rising white noise effect.",Abrupt burst of white noise followed by a bouncing effect.,Blast of white noise distinguished by a tonal delay effect.
modulated,356,175,181,new,both,"Synthesized metal impact with a warped, modulated effect.",Metallic sound with a piano-like quality modulated by an LFO.,Rapid motion with a modulated white noise tail.
multiple,353,246,107,new,both,"Wild. Steady, continuous beak clapping sequence. Multiple birds at the end. Mono, Sanken Co100K high frequency response.","Wild. Steady, continuous beak clapping sequence. Multiple birds at the end.","Multiple short, throaty, and shaky barks."
hollow,347,260,87,new,both,Textile being hit. Rustling and hollow elements.,Quickly sliding metallic pieces. Slightly hollow.,Slowly sliding metallic pieces. Slightly hollow.
wild,341,277,64,new,both,"Wild, Marine, Mammal. Very short, airy snorting. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Very short, airy snorting.","Wild, Marine, Mammal. Low, throaty groaning with snorts at the end. Mono, Sanken Co100K high frequency response."
gore,340,4,336,new,both,"Leading in with whoosh, followed by hard impact with lots of gore.",Fast impact with lot of gore elements.,Devastating strike with overwhelming force and gore heavy debris.
ab,337,169,168,new,both,"Antique artillery, historic cannon, cal 27mm. Small AB positioned 1m away from the cannon.","Antique artillery, historic cannon, cal 27mm. AB with dynamic microphones positioned 3m away from the cannon.","Antique artillery, historic cannon, cal 56mm. Small AB positioned 1m away from the cannon."
tight,335,201,134,new,both,"Force Cup. Wet, tight, resonant impacts with splashing at the end. Mono, Sanken Co100K high frequency response.",Processed shot with tight detonation and soft tail.,Very short and tight impact with subtle rattling.
impacts,332,316,16,new,both,"Force Cup. Wet, resonant impacts with splashing at the end. Mono, Sanken Co100K high frequency response.","Force Cup. Wet, tight, resonant impacts with splashing at the end. Mono, Sanken Co100K high frequency response.","PROCESSED MOVEMENT CONTINUOUS Long, continuously, heavy rumbling and crumbling. Steady thuds and liquid like impacts."
sizzling,332,315,17,new,both,"Air, Breath, Inhale, Exhale. Long, airy, hissing bursts with sizzling at the end. Mono, Sanken Co100K high frequency response.","Air, Breath, Inhale, Exhale. Slightly tonal, airy hissing with fast movement and subtle sizzling. Mono, Sanken Co100K high frequency response.",Rubbery sizzling synthetic with fluctuating pitch modulation.
laser,330,187,143,new,both,"Fluctuating jiggle with a laser-like quality, featuring a pitch shift and delay.",Laser sound with sine frequency shift and sweep.,Low crunch jolting surge resembling a filtered laser impact.
gritty,323,173,150,new,both,"Domestic, Farm, Swine, Mammal. Aggressive, gritty grunting, growling, squealing and screaming. Mono, Sanken Co100K high frequency response.","Domestic, Farm, Swine, Mammal. Aggressive, gritty grunting, growling, squealing and screaming.","Domestic, Farm, Mammal. Low, throaty, gritty baaing. Mono, Sanken Co100K high frequency response."
mammal,323,323,0,new,desc,"Wild, Marine, Mammal. Very short, airy snorting. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Very short, airy snorting.","Wild, Marine, Mammal. Low, throaty groaning with snorts at the end. Mono, Sanken Co100K high frequency response."
additional,319,319,0,mid,desc,Whooshing sound of a leather textile rustling with additional short flapping squeaks.,"Distorted, scraping noise texture. Swipe like motion with additional friction.",Short bubbling impact with additional filter modulation.
bell,314,123,191,new,both,Delightful sound of a bell ascending in pitch.,Charming sound of a bell with a delay effect.,Bell gracefully descending in pitch.
drum,313,99,214,new,both,Strong hand drum impact with warm body and tight percussive hit.,Soft hand drum hit with round low tone and smooth decay.,Muffled drum hit with soft mallet pressure and subdued resonance.
sustained,313,304,9,new,both,"Sustained synthesized movement with a rising pitch, featuring a mouth-generated phaser effect.","Sustained synthesized movement with low-frequency oscillation, featuring a frequency shift.",Synthesized glimmering characterised by a metal screw and sustained to produce a continuous and resonant texture.
release,311,203,108,new,both,Pressurised release of high-pitched tonal impact.,"SYNTHETIC HIT HIGH Distorted release of quick and short thuds, like deflating a balloon.",Tonal air release from glass submerged in a liquid medium.
tone,310,285,25,new,both,"Classic, shimmering sound with a sharp, clear tone.","Sharp, glassy impact with a shimmering tone.","Clean, metallic ping with a bright, shimmering tone."
throaty,308,252,56,new,both,"Wild, Marine, Mammal. Low, throaty groaning with snorts at the end. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Low, throaty groaning with snorts at the end.","Wild, Marine, Mammal. Tonal grunting with throaty groaning. Mono, Sanken Co100K high frequency response."
dull,307,261,46,new,both,Whoosh characterised by a basic dull noise filter.,Steel ball of 14 kilograms being dropped onto dirt consisting of bark and mulch. Deep and dull hit.,Steel ball of 14 kilograms being dropped onto a soil with some leaves. Deep and dull hit.
